player_name,gb_actual_BA_23,gb_xBA_23,gb_luck_23,gb_count_23,gb_actual_BA_22,gb_xBA_22,gb_luck_22,gb_count_22,gb_luck_increase,ld_actual_BA_23,ld_xBA_23,ld_luck_23,ld_count_23,ld_actual_BA_22,ld_xBA_22,ld_luck_22,ld_count_22,ld_luck_increase,total_luck_increase
"Judge, Aaron",0.312,0.325,-0.013,32,0.273,0.264,0.009,55,-0.022,0.593,0.615,-0.022,27,0.739,0.712,0.027,23,-0.049,-0.03185401459854015
"Kemp, Tony",0.125,0.224,-0.099,64,0.281,0.201,0.08,57,-0.179,0.524,0.62,-0.096,21,0.643,0.642,0.001,28,-0.097,-0.15536470588235293
"Kepler, Max",0.171,0.249,-0.077,35,0.173,0.252,-0.079,52,0.0020000000000000018,0.5,0.491,0.009,18,0.6,0.631,-0.031,30,0.04,0.015511111111111113
"Kiermaier, Kevin",0.283,0.265,0.019,60,0.209,0.236,-0.026,43,0.045,0.72,0.675,0.045,25,0.8,0.752,0.048,20,-0.0030000000000000027,0.030405405405405404
"Kim, Ha-Seong",0.233,0.212,0.021,43,0.22,0.209,0.01,41,0.011000000000000001,0.677,0.618,0.059,31,0.571,0.609,-0.038,28,0.097,0.046482517482517485
"Kiner-Falefa, Isiah",0.295,0.219,0.076,44,0.232,0.252,-0.02,69,0.096,0.391,0.572,-0.181,23,0.618,0.638,-0.021,34,-0.16,0.010164705882352937
"Kirk, Alejandro",0.23,0.185,0.044,61,0.321,0.257,0.064,56,-0.020000000000000004,0.593,0.63,-0.037,27,0.577,0.671,-0.094,26,0.057,0.004005882352941173
"Kwan, Steven",0.275,0.247,0.028,91,0.278,0.246,0.032,54,-0.004,0.5,0.607,-0.107,50,0.429,0.532,-0.104,21,-0.0030000000000000027,-0.003671296296296297
"LeMahieu, DJ",0.236,0.246,-0.01,72,0.236,0.254,-0.018,72,0.007999999999999998,0.759,0.641,0.117,29,0.448,0.579,-0.131,29,0.248,0.07691089108910891
"Lindor, Francisco",0.196,0.229,-0.032,56,0.269,0.242,0.027,67,-0.059,0.65,0.573,0.077,40,0.645,0.705,-0.06,31,0.137,0.012731958762886603
"Lopez, Nicky",0.179,0.194,-0.016,28,0.179,0.21,-0.031,67,0.015,0.571,0.559,0.013,21,0.613,0.569,0.044,31,-0.031,-0.0012721088435374145
"Lowe, Brandon",0.279,0.265,0.014,43,0.129,0.249,-0.12,31,0.134,0.611,0.593,0.018,18,0.75,0.695,0.055,20,-0.037000000000000005,0.07598214285714286
"Lowe, Nathaniel",0.229,0.223,0.006,83,0.246,0.228,0.018,57,-0.011999999999999999,0.689,0.649,0.039,45,0.629,0.632,-0.003,35,0.042,0.007636363636363639
"Machado, Manny",0.255,0.219,0.036,51,0.433,0.284,0.149,60,-0.11299999999999999,0.593,0.611,-0.018,27,0.758,0.704,0.053,33,-0.071,-0.09826315789473684
"Madrigal, Nick",0.255,0.2,0.055,55,0.175,0.203,-0.028,40,0.083,0.389,0.556,-0.167,18,0.5,0.646,-0.146,16,-0.02100000000000002,0.055589147286821704
"Maldonado, Martín",0.176,0.238,-0.061,34,0.067,0.26,-0.193,30,0.132,0.636,0.647,-0.011,22,0.5,0.499,0.001,16,-0.012,0.0783529411764706
"Mancini, Trey",0.208,0.242,-0.034,53,0.377,0.256,0.121,53,-0.155,0.654,0.582,0.072,26,0.542,0.598,-0.056,48,0.128,-0.038655555555555554
"Margot, Manuel",0.327,0.242,0.086,55,0.342,0.261,0.081,38,0.0049999999999999906,0.522,0.606,-0.084,23,0.742,0.699,0.043,31,-0.127,-0.04348979591836735
